Hmix,Smix,Phase
-5.09,5.22,1
-1.86,3.8,1
-3.49,4.31,1
-11.44,7.84,1
-5.0,4.31,1
-3.37,4.97,1
-4.02,5.48,1
-2.47,4.86,1
2.2,4.3,1
-29.15,7.63,1
-1.43,5.22,1
-2.3,5.48,1
-3.15,5.72,1
-18.4,7.9,1
-25.87,9.29,0
-25.18,9.41,0
-24.97,10.85,0
-40.1,10.52,0
-41.16,10.17,0
-33.35,13.66,0
-27.5,10.12,0
-27.15,9.93,0
-26.89,9.48,0
-32.22,8.39,0
-28.1,9.99,0
-30.46,10.39,0
-25.48,9.39,0
-25.22,10.49,0
-27.31,10.06,0
-35.59,10.7,0
-25.46,9.43,0
-25.47,10.04,0
-26.66,9.99,0
-28.58,10.7,0
